// passenger_id;number_of_hand_baggage;hand_baggage_id(s)
1;3;428,15,70
2;2;152,548
3;2;109,456
4;2;130,484
5;3;390,227,208
6;3;509,401,408
7;3;279,95,153
8;2;500,480
9;2;381,407
10;2;311,550
11;2;257,176
12;2;97,263
13;2;195,30
14;2;162,165
15;2;19,320
16;2;465,223
17;2;283,359
18;2;96,567
19;2;488,420
20;2;139,141
21;2;508,84
22;2;91,310
23;2;565,291
24;1;74
25;2;63,224
26;2;254,318
27;2;549,56
28;2;292,106
29;1;169
30;1;423
31;2;132,367
32;2;575,507
33;1;265
34;2;369,525
35;1;32
36;1;40
37;1;453
38;2;220,171
39;2;172,231
40;1;285
41;1;240
42;1;431
43;1;331
44;2;117,495
45;1;183
46;1;577
47;1;522
48;1;440
49;2;149,400
50;1;497
51;1;551
52;1;57
53;1;340
54;1;303
55;1;521
56;2;179,413
57;1;309
58;1;409
59;1;54
60;2;436,445
61;1;232
62;1;571
63;1;376
64;2;570,47
65;1;290
66;1;357
67;1;134
68;1;243
69;1;277
70;1;378
71;1;71
72;1;205
73;1;260
74;1;355
75;1;552
76;1;258
77;1;180
78;1;296
79;1;58
80;1;547
81;1;238
82;1;380
83;1;20
84;1;377
85;1;39
86;1;461
87;1;119
88;1;65
89;1;422
90;1;498
91;1;185
92;1;146
93;1;598
94;1;164
95;1;336
96;1;343
97;1;473
98;1;482
99;1;455
100;1;174
101;1;271
102;1;233
103;1;282
104;1;124
105;1;415
106;1;539
107;1;1
108;1;607
109;1;469
110;1;219
111;1;513
112;1;554
113;1;579
114;1;7
115;1;366
116;1;44
117;1;532
118;1;148
119;1;256
120;1;228
121;1;499
122;1;212
123;1;572
124;1;166
125;1;560
126;1;566
127;1;466
128;1;330
129;1;201
130;1;478
131;1;324
132;1;78
133;1;187
134;1;523
135;1;556
136;1;606
137;1;338
138;1;207
139;1;360
140;1;21
141;1;317
142;1;200
143;1;85
144;1;94
145;1;210
146;1;83
147;1;264
148;1;584
149;1;79
150;1;578
151;1;417
152;1;88
153;1;302
154;1;386
155;1;533
156;1;487
157;1;531
158;1;198
159;1;450
160;1;216
161;1;298
162;1;9
163;1;137
164;1;270
165;1;542
166;1;537
167;1;155
168;1;173
169;1;442
170;1;274
171;1;582
172;1;306
173;1;553
174;1;403
175;1;485
176;1;249
177;1;504
178;1;332
179;1;156
180;1;322
181;1;574
182;1;69
183;1;157
184;1;583
185;1;268
186;1;116
187;1;432
188;1;236
189;1;599
190;1;226
191;1;545
192;1;427
193;1;399
194;1;603
195;1;98
196;1;472
197;1;405
198;1;555
199;1;41
200;1;596
201;1;602
202;1;327
203;1;601
204;1;370
205;1;543
206;1;402
207;1;557
208;1;170
209;1;131
210;1;458
211;1;102
212;1;328
213;1;6
214;1;496
215;1;600
216;1;239
217;1;214
218;1;10
219;1;215
220;1;486
221;1;356
222;1;362
223;1;379
224;1;371
225;1;193
226;1;107
227;1;273
228;1;375
229;1;503
230;1;269
231;1;43
232;1;23
233;1;60
234;1;12
235;1;246
236;1;80
237;1;237
238;1;213
239;1;329
240;1;392
241;1;275
242;1;191
243;1;77
244;1;569
245;1;334
246;1;81
247;1;568
248;1;505
249;1;342
250;1;323
251;1;189
252;1;477
253;1;53
254;1;511
255;1;114
256;1;608
257;1;284
258;1;115
259;1;255
260;1;544
261;1;51
262;1;66
263;1;352
264;1;34
265;1;519
266;1;468
267;1;140
268;1;168
269;1;604
270;1;425
271;1;24
272;1;540
273;1;394
274;1;295
275;1;46
276;1;315
277;1;276
278;1;368
279;1;104
280;1;14
281;1;182
282;1;76
283;1;52
284;1;373
285;1;383
286;1;345
287;1;586
288;1;259
289;1;105
290;1;297
291;1;194
292;1;247
293;1;605
294;1;471
295;1;348
296;1;48
297;1;387
298;1;363
299;1;133
300;1;479
301;1;593
302;1;17
303;1;190
304;1;299
305;1;4
306;1;272
307;1;512
308;1;414
309;1;594
310;1;449
311;1;429
312;1;573
313;1;287
314;1;248
315;1;68
316;1;313
317;1;501
318;1;534
319;1;515
320;1;159
321;1;90
322;1;145
323;1;75
324;1;447
325;1;177
326;1;86
327;1;389
328;1;424
329;1;25
330;1;136
331;1;144
332;1;406
333;1;416
334;1;316
335;1;421
336;1;300
337;1;294
338;1;538
339;1;5
340;1;576
341;1;26
342;1;518
343;1;92
344;1;278
345;1;64
346;1;589
347;1;234
348;1;561
349;1;418
350;1;520
351;1;341
352;1;308
353;1;441
354;1;87
355;1;448
356;1;36
357;1;443
358;1;252
359;1;110
360;1;222
361;1;72
362;1;55
363;1;492
364;1;16
365;1;37
366;1;229
367;1;154
368;1;344
369;1;126
370;1;122
371;1;481
372;1;241
373;1;250
374;1;385
375;1;225
376;1;262
377;1;490
378;1;199
379;1;211
380;1;184
381;1;430
382;1;125
383;1;89
384;1;112
385;1;463
386;1;321
387;1;42
388;1;305
389;1;585
390;1;203
391;1;151
392;1;483
393;1;393
394;1;489
395;1;123
396;1;307
397;1;267
398;1;437
399;1;464
400;1;444
401;1;588
402;1;365
403;1;31
404;1;289
405;1;364
406;1;121
407;1;580
408;1;266
409;1;459
410;1;82
411;1;304
412;1;353
413;1;197
414;1;474
415;1;27
416;1;558
417;1;217
418;1;438
419;1;506
420;1;280
421;1;59
422;1;38
423;1;301
424;1;35
425;1;143
426;1;142
427;1;527
428;1;138
429;1;45
430;1;62
431;1;22
432;1;592
433;1;61
434;1;524
435;1;319
436;1;563
437;1;101
438;1;181
439;1;510
440;1;204
441;1;326
442;1;361
443;1;49
444;1;609
445;1;221
446;1;412
447;1;562
448;1;529
449;1;235
450;1;590
451;1;167
452;1;358
453;1;163
454;1;372
455;1;454
456;1;433
457;1;374
458;1;251
459;1;202
460;1;351
461;1;158
462;1;491
463;1;410
464;1;196
465;1;135
466;1;312
467;1;384
468;1;127
469;1;493
470;1;391
471;1;160
472;1;347
473;1;261
474;1;546
475;1;230
476;1;242
477;1;452
478;1;8
479;1;457
480;1;434
481;1;559
482;1;587
483;1;439
484;1;192
485;1;595
486;1;526
487;1;475
488;1;354
489;1;398
490;1;516
491;1;435
492;1;28
493;1;476
494;1;244
495;1;129
496;1;73
497;1;175;
498;1;530
499;1;346
500;1;209
501;1;186
502;1;13
503;1;333
504;1;100
505;1;335
506;1;288
507;1;350
508;1;581
509;1;293
510;1;93
511;1;396
512;1;494
513;1;349
514;1;397
515;1;502
516;1;541
517;1;3
518;1;514
519;1;460
520;1;103
521;1;150
522;1;206
523;1;446
524;1;11
525;1;286
526;1;253
527;1;535
528;1;2
529;1;314
530;1;245
531;1;411
532;1;188
533;1;147
534;1;111
535;1;404
536;1;18
537;1;536
538;1;281
539;1;591
540;1;339
541;1;113
542;1;67
543;1;517
544;1;120
545;1;470
546;1;161
547;1;33
548;1;426
549;1;337
550;1;462
551;1;128
552;1;419
553;1;395
554;1;564
555;1;50
556;1;451
557;1;99
558;1;382
559;1;388
560;1;178
561;1;597
562;1;325
563;1;218
564;1;29
565;1;118
566;1;108
567;1;467
568;1;528
